title,title_url,thumbnail,channel_name,Description,Views
Wait for revenge 😎 #shorts #bewafa,https://www.youtube.com/shorts/15sAm0HaB6E,https://i.ytimg.com/vi/15sAm0HaB6E/hq720_2.jpg?sqp=-oaymwEdCJUDENAFSFXyq4qpAw8IARUAAIhCcAHAAQbQAQE=&rs=AOn4CLBM5qh8ZIUzZbuoxnba3Pgsp-06bw,Bobby chourasiya,Wait for revenge 😎 #shorts #bewafa,"Bobby chourasiya
•
69M views
5 days ago"
Stunning Last-Over Win | Full Highlights | Pakistan vs England | 4th T20I 2022 | PCB | MU2T,https://www.youtube.com/watch?v=hsJhr1edaOk,https://i.ytimg.com/vi/hsJhr1edaOk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDo_gPtiF9orSTO-g9bUwVUxlh77A,Pakistan Cricket,Stunning Last-Over Win | Full Highlights | Pakistan vs England | 4th T20I 2022 | PCB | MU2T,"Pakistan Cricket
3M views
5 days ago"
I MET NASEEM SHAH ❤️,https://www.youtube.com/watch?v=qN3ET4pMyJ8,https://i.ytimg.com/vi/qN3ET4pMyJ8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD-68il0wrXJ99a4Wq5PzEoZ7SV1A,Ducky Bhai,I MET NASEEM SHAH ❤️,"Ducky Bhai
1.7M views
3 days ago"
I AM BACK ❤️,https://www.youtube.com/watch?v=9A0Ln4Atvxc,https://i.ytimg.com/vi/9A0Ln4Atvxc/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVooAszUCDKMiMGILWpT2Mu6lXHg,Ducky Bhai,I AM BACK ❤️,"Ducky Bhai
1.5M views
5 days ago"
Full Highlights | Pakistan vs England | 5th T20I 2022 | PCB | MU2T,https://www.youtube.com/watch?v=XB7ch9MT8fY,https://i.ytimg.com/vi/XB7ch9MT8fY/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCFaq3iG1SI_NDXKvQii-gqySOpKA,Pakistan Cricket,Full Highlights | Pakistan vs England | 5th T20I 2022 | PCB | MU2T,"Pakistan Cricket
2.4M views
2 days ago"
Maa Apne baccho ko kabhi Rota nahi dekh sakti❤️|| Jai Mata Di || Gulshan kalra #shorts,https://www.youtube.com/shorts/aC0oNcJBdI8,https://i.ytimg.com/vi/aC0oNcJBdI8/hq720_2.jpg?sqp=-oaymwEdCJUDENAFSFXyq4qpAw8IARUAAIhCcAHAAQbQAQE=&rs=AOn4CLDGc3Sg42R8TnTroOJ5vVo0jcp1cA,Gulshan Kalra,Maa Apne baccho ko kabhi Rota nahi dekh sakti❤️|| Jai Mata Di || Gulshan kalra #shorts,"Gulshan Kalra
32M views
6 days ago"
Bakhtawar - Episode 09 - [𝐂𝐂] - Yumna Zaidi - Zaviyar Nauman Ejaz - 25th September 2022 - HUM TV,https://www.youtube.com/watch?v=jf6HKF3KMa4,,HUM TV,Bakhtawar - Episode 09 - [𝐂𝐂] - Yumna Zaidi - Zaviyar Nauman Ejaz - 25th September 2022 - HUM TV,"HUM TV
4.6M views
5 days ago"
Kaisi Teri Khudgharzi Episode 22 - 28th September 2022 (Eng Subtitles) - ARY Digital Drama,https://www.youtube.com/watch?v=RSUNlzGt8ME,,ARY Digital HD,Kaisi Teri Khudgharzi Episode 22 - 28th September 2022 (Eng Subtitles) - ARY Digital Drama,"ARY Digital HD
20M views
2 days ago"
Jugaad aise bhi(part-2)😂 #shorts #comedy #chetanmonga,https://www.youtube.com/shorts/M52X7eeg_vg,,Chetan Monga Vlogs,Jugaad aise bhi(part-2)😂 #shorts #comedy #chetanmonga,"Chetan Monga Vlogs
23M views
7 days ago"
Full Highlights | Pakistan vs England | 2nd T20I 2022 | PCB | MU1T,https://www.youtube.com/watch?v=U2x8UJCcgPw,,Pakistan Cricket,Full Highlights | Pakistan vs England | 2nd T20I 2022 | PCB | MU1T,"Pakistan Cricket
3M views
8 days ago"
